,id_chord,id_track,chords,orig_key
0,5000001,8000001,"Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,Am,F,C,Am,F,C,F,C,F,C,G,Dm,F,Am,F,C,G,Am,F,C,G,Am,F,C,Am,F,C,Am,F,C,Am,F,C,F,C,F,C,G,Dm,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,F,C,Gm,Am,F,C,G,Am,F,C",E
1,5000007,8000007,"Am,F,C,Am,F,C,C,F,C,F,C,F,C,F,C,F,C,F,C,C,G,G,C,F,C,Am,F,C,G,Am,F,C,Am,F,C,Am,F,C,Am,F,C,C,F,C,F,C,G,G,C,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,F,C,Am,F,C,C,C,Cm,C,F,G#m,C,C,Cm,C,G",F
2,5000008,8000008,"C,Am,C,Am,F,C,Am,Dm,F,C,Em,Am,F,C,Am,F,C,Em,F,C,G,F,C,G,Bdim,C,F,C,Em,Am,F,C,G,Am,F,C,G,Am,F,C,C,Am,F,C,F,C,G,C,F,C,Em,G,G,Bdim,C,F,C,G,A,F,C,G,Am,F,C,G,Am,F,C,Em,Am,F,C,Em,Am,F,C,Em,Am,F,C,Em,Am,F,C",E
3,5000023,8000023,"E,Bm,C,G,Em,C,G,C,G,C,G,C,G,Em,G,C,G,F#m,C,G,Bm,C,G,Bm,D,C,F#dim,C,Em,C,G,D,Em,C,G,G,Em,Em,G,Bm,Em,G,Bm,C,G,Cm,D,B,Em,C,G,G,Bm,G,C,Em,G,Bm,C,Em,G,Bm,D,C,F#dim,Em,Am,G,D,Em,C,G,E,C,G,Bm,Em,C,G,D,Em,C,G,B,C#,D#m,C#,F#,C#,B,C#,D#m,C#,F#,B",A#
4,5000017,8000017,"Am,F,C,Am,F,C,Am,F,C,Am,F,C,G,Am,F,C,G,Am,F,C,G,F,C,F,C,G,C,F,C,Am,F,C,G,Am,F,C,Am,F,C,Am,F,C,Am,F,C,G,F,C,F,C,G,C,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C",F
5,5000019,8000019,"Am,F,C,G,Am,F,C,Am,F,C,Am,F,C,Am,F,C,G,F,C,F,C,G,F,Am,F,C,C,F,C,C,F,C,C,F,C,Am,F,C,F,C,F,C,C,F,Am,F,C,F,Am,F,C,C,Am,F,C,F,Am,F,F,C",A
6,5000020,8000020,"C#m,Am,F,C,D,Am,F,C,D,Am,F,C,Am,F,C,Am,F,C,D,Am,C,F,C,F,C,D,F,C,D,G,Dm,C,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,F,C,F,C,G,Dm,C,F,C,G,Am,F,C,G,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,C,B",A
7,5000013,8000013,"Am,F,C,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,F,C,F,C,Am,G,G,C,F,Am,F,C,Am,F,C,G,Am,F,C,G,F,C,G,F,C,Am,G,Am,F,C,G,Am,F,C,Dm,Am,F,C,Am",A#
8,5000018,8000018,"Am,F,C,G,Am,F,C,G,C,F,C,Am,F,C,Am,F,C,Am,C,F,C,D,F,C,E,G,F,C,F,C,Am,F,C,Am,C,Am,F,C,F,C,G,F,C,F,C,G,Dm,Am,C,F,C,Am,F,C,Am,F,G,C,Am,F,C,C,C",G
9,5000011,8000011,"D,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,F,C,F,C,G,G,C,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,F,C,F,C,G,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,A",F#
10,5000012,8000012,"Am,F,C,Em,Am,F,C,Em,Am,F,F,C,G,Am,F,C,G,F,C,Em,F,C,G,F,C,G,Am,F,C,C,Am,F,C,Em,Am,F,C,G,Am,F,C,Em,F,C,C,F,C,C,G,F,C,F,C,G,F,C,G,F,C,G,Am,F,C",A#
11,6000001,9000001,"C,C,C,C,Cm,G#,Cm,C,Cm,G#,F,Cm,C,C,A#,Cm,G#,D#,A#,Am,G#,Fm,G#,Fm,Cm,D#,Fm,G#,Fm,Cm,G,Cm,C,Cm,F,Cm,G#,Cm,Gm,Cm,G#,D#,Am,G#,Fm,G#,Fm,Cm,D#,Fm,G#,Fm,Cm,G,G,C,Cm",C#
12,6000002,9000002,"G#,E,C,C,G,Am,Em,F#m,Gm,C,Am,C,E,F#m,E,C,D,C,D,Em,Fm,G#m,C,G,Am,G,Am,C,F#m,E,G,B,Em,C,A,Em,C#dim,E",D#
13,6000003,9000003,"C,F,G#,G#,A#,G,Cm,F,G#,Fm,A#,G,C,D,G#,B,A#,D#,F,D#,D,C,D,G#,B,Cm,D,D#,F,G,F,G,G#,B,Cm,G,C,Cm,C,Dm,G#,Cm,C,Dm,Cm,Dm,G#,Cm,Cm,Fm,Dm,C,G#,Fm,G#,C#,F,Cm,Dm,C#,A#m,Fm,F,Cm,Dm,Cm,Fm,Cm,Fm,Cm,Fm,Cm,F,D#,D,Cm,Fm,D#,G#,D#,Dm,C,D",A
14,6000004,9000004,"C,Cm,F,C,Cm,F,Cm,A#,Cm,F,A#,Cm,A#,Cm,A#,Cm,F,Cm,G#,Cm,D#,A#,F,A#,Cm,D#,G#,F,Cm,C,D#,G#,A#,Cm,G#,F,G#,C,F,G#,A#,C,F,G#,A#,C,F,G#,A#,Cm,A#,Fm,D#,C,G#,A#,F,G#,C,D#,A#,F,Cm,D#,G#,F,Cm,D#,G#,A#,G#,A#,Fm,Gm,C,G#,D#,F,G#,C",C#
15,6000005,9000005,"Cm,G#,Cm,Fm,Cm,G,C,G#,Cm,Fm,D#,G,Cm,G#,Fm,G,Cm,G#,Fm,Cm,G#,Cm,Fm,D#,G,Cm,G#,Cm,Fm,D#,G,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,C,G,C,G#,C,Fm,D#,D,Cm,G#,Cm,Fm,Cm,G,Cm,G#,Cm,Fm,Cm,G,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,C,G,C,G#,C,G#,C,G#,G#m,D#,G,Cm,G#,G#m,D#,D#,G,Cm,G#,G#m,D#,G,Fm,Cm,G,Cm,G,F,Fm,Cm,G,Cm,G,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,C,G,C,G#,D#,G,G,Cm,C",E
16,6000006,9000006,"C,Am,D,C,C,C,F,Cm,C,Cm,Dm,Cm,Gm,C,D,Cm,F,C,D,Cm,F,C,D,Cm,F,C,D,Cm,F,C,Cm,G#,A#,Cm,G#,A#,G#,A#,Cdim,G#,G,G#,A#,Cm,G,G#,A#,Cm,G,G,C,D,D#,F#m,F,Cm,D,Cm,G#,F,D#,C,D,C,G#,A#,C,C,D",E
