,id_chord,id_spotify_track,id_track
0,5000001,025vpSSyndhVZezl8rUF6L,8000001
1,5000007,6TyaYGQKCnRLVTOQlXvYAA,8000007
2,5000008,68iMdxXn1timrxURm9dR8C,8000008
3,5000023,6f46TyGZm5oeKIP54PLvql,8000023
4,5000017,34dnNAUoIPcwnK0RtVMBWZ,8000017
5,5000019,49ilSrZNQcle6PYw8rtvzM,8000019
6,5000020,66Z3LdLjtwfIdHFF0wZa5B,8000020
7,5000013,2LbHYfTYW6TipHInIjqdaQ,8000013
8,5000018,49Nzxf1LskunwmZ6EyWUew,8000018
9,5000011,5FoM2ZWwhgTxHFFh2stUw6,8000011
10,5000012,7tn1tcxenMwDXrYTOjS3z1,8000012
11,6000001,3quIqeqcnQaiyM8X7kK7Wm,9000001
12,6000002,7nq8DgNdgYGihJrZYB221C,9000002
13,6000003,54T6BKSPCO5NcFXHzrSb9W,9000003
14,6000004,2CVf3ApXLk1cXQ2B6Z9ZlS,9000004
15,6000005,4hbO390vbRE8dNVx3oCwaF,9000005
16,6000006,3kxEAkXVz45ysdavxSCuid,9000006
17,6000007,3I0AM51TcmZBTfVi0gDFFU,9000007
18,6000008,1cp7pENCkTI63S6TIjFyVN,9000008
19,6000009,4UicwYFLdxrFl2gLVvlsiF,9000009
20,6000010,3PTD2eturmZsdedW6reT1p,9000010
21,6000011,6X1NTiQlYqVr94gB7T2GFj,9000011
22,6000012,4IVyX0UJzGyUk0MLiz1jVJ,9000012
23,6000013,5S11x5kTJN5SLSY0RDDFMI,9000013
24,6000014,2c3iovaZqJhIhXnV28dand,9000014
25,6000015,2hHAjvHx7gZL3zSPHYMEwn,9000015
26,6000016,3tZm76otWH20xzJC7icHCk,9000016
27,6000017,5zFglKYiknIxks8geR8rcL,9000017
28,6000018,4uX1pkSuSidzJxT4eWL7x1,9000018
29,6000019,54WpJSyO81dpA40MKJHd0C,9000019
30,6000020,1G5rzVAFlgMqG4gaRujcaA,9000020
31,6000021,6PyFYTEo8X3inQ4hQvA8md,9000021
32,6000022,6FDKYM0lBf6zqrg8cFokPd,9000022
33,6000023,0r7CVbZTWZgbTCYdfa2P31,9000023
34,6000024,06ylybDHRyv6wEpjBc9TKn,9000024
35,6000025,6V1bu6o1Yo5ZXnsCJU8Ovk,9000025
36,6000026,5eWgDlp3k6Tb5RD8690s6I,9000026
37,6000027,4nYsmWkuTaowTMy4gskmBw,9000027
38,6000028,3PGdPUMdUg7a3Tgr5gkfKK,9000028
39,6000029,4lUnFLtn8w3W76FiYDRzmO,9000029
40,6000030,0SvxydoxEEkXt9aMAqTfpB,9000030
41,6000031,7LcfRTgAVTs5pQGEQgUEzN,9000031
42,6000032,6YgV0EF8xJMZz0Zm6BTaT4,9000032
43,6000033,1AfYo6cKm3yHsJHdmNoGO1,9000033
44,6000034,4QvxRSI7FfFTzQ1sr6z9on,9000034
45,6000035,3SUusuA9jH1v6PVwtYMbdv,9000035
46,6000036,7nnWIPM5hwE3DaUBkvOIpy,9000036
47,6000037,3NUmUIyzNLBp8bCFMH8Mif,9000037
48,6000038,1xmctspTzQxisNXKY6Gxf6,9000038
49,6000039,0ntQJM78wzOLVeCUAW7Y45,9000039
50,6000040,70wYA8oYHoMzhRRkARoMhU,9000040
51,6000041,6ZrlXT6mUMEgomN128iekU,9000041
52,6000042,5UWwZ5lm5PKu6eKsHAGxOk,9000042
53,6000043,0qVSoMLshegqzDE2FZlIsc,9000043
54,6000044,1BfR5GMOgW0peHkPxrwf11,9000044
55,6000045,4cgDk0IjwdG8w1ArIaqdpq,9000045
56,6000046,1nB8Inb3mfAKyFZVATbt2c,9000046
57,6000047,4OROzZUy6gOWN4UGQVaZMF,9000047
58,6000048,4VmjGU25b1zH5PXskfRc8S,9000048
59,6000049,1GcjvDSnjg72prxHHzXqXL,9000049
60,6000050,2fYwQbjEJ10Z0lzKDfvOtH,9000050
61,6000051,7sDwxV8qrVNdxvljSkjp0n,9000051
62,6000052,7hAfAX5W1JK5KxRkI6ptVz,9000052
63,6000053,6kKqXJyXOn7WyvznsWRG2R,9000053
64,6000054,2B4WPWFRZAuqZdxKW4ysHk,9000054
65,6000055,6iWs0J0CnadMMbxLQtZrCG,9000055
66,6000056,4nBAnO9l9eV05UKhBVqqRZ,9000056
67,6000057,2tCPIp83mRXvVTytTAf1W4,9000057
68,6000058,00M9ARzRqQKGns8cOKdC8q,9000058
69,6000059,2hx1lsE6o7UTg67cmQMTdr,9000059
70,6000060,0riKnNbOZGuEThMzpvyaAA,9000060
71,6000061,3UUwbJd2j4RORlalTUhaDk,9000061
72,6000062,4OnqJ1ml4Jgr5AAKNrrYCD,9000062
73,6000063,0PJMHv4glk31FYeGq8Hg13,9000063
74,6000064,5787WaGd5DQvL14A6SJ8cG,9000064
75,6000065,1kdUf0ulyQfNhw9MF1Tx0R,9000065
76,6000066,5V1z0sD1u5BXFNpk4mRbWp,9000066
77,6000067,1kg9Y4fyzMbVOYlTgv5Qag,9000067
78,6000068,06zHdanZJe7J5qBvSCZBSb,9000068
79,6000069,7MBYsklvgMLD8lA6I116qi,9000069
80,6000070,4mXfHJAMHBFwq4MdQxne2L,9000070
81,6000071,58Xj6SXYpbZIC1j3znh3fE,9000071
82,6000072,4wrvPSuy0brEXYtxcT6KK3,9000072
83,6000073,69gBnFLDtc2lub6xL0sfi9,9000073
84,6000074,6lJQVk8SATjOlX722PQ1MQ,9000074
85,6000075,2CD5TesE5cPyhWxXxz3qIE,9000075
86,6000076,1pKYYY0dkg23sQQXi0Q5zN,9000076
87,6000077,3Ja3w4D7Gqy7xF0SlktVCk,9000077
88,6000078,6gQUbFwwdYXlKdmqRoWKJe,9000078
89,6000079,2CopJuKNjDge72JaADQdlv,9000079
90,6000080,21hQPBNOC3Kw4iWlcNgjQU,9000080
91,6000081,5IMtdHjJ1OtkxbGe4zfUxQ,9000081
92,6000082,2T43UrvAg60ubJVo5KQ3t7,9000082
93,6000083,66gG8RzSA2sVQwME8e43wX,9000083
94,6000084,3ziCNz5vq8pEeRZjPElfYR,9000084
95,6000085,0qdQUeKVyevrbKhAo0ibxS,9000085
96,6000086,2ccUQnjjNWT0rsNnsBpsCA,9000086
97,6000087,3qrEG6rQ9Qm72MNWeUKKiU,9000087
98,6000088,2BY7ALEWdloFHgQZG6VMLA,9000088
99,6000089,5fdNHVZHbWB1AaXk4RBGVD,9000089
100,6000090,1pWXMZ42bTczI0jpVv3fiy,9000090
101,6000091,6sH3bAoqJZEOqGsp6Uch3u,9000091
102,6000092,5XnhDUPFpXQw6VukXz0652,9000092
103,6000093,42HtkJJ6Az6iph7LJlUaIV,9000093
104,6000094,1DOK4imxjjUaPWxUQUqHL1,9000094
105,6000095,0HjLl9IgcoCetajljz6bK7,9000095
106,6000096,2ar6N0eVWjj0ooGEBR57RZ,9000096
107,6000097,5eHBwub0uVM4bnXgzhiBbK,9000097
108,6000098,1FSWSs9CL01RCYxXtm08Rf,9000098
109,6000099,70TcNRvu3QGudSzHG3sh9q,9000099
110,6000100,6uKFaRWAVcix2AK8lJbSPk,9000100
111,6000101,0Q0IVlqMV64kNLlwjPj0Hl,9000101
112,6000102,4mQMvcRtQou5yI8mjuJ1lf,9000102
113,6000103,3IeCYkdKI55mNMl2o4vX0k,9000103
