,id_chord,id_track,chords,orig_key
0,6000001,3quIqeqcnQaiyM8X7kK7Wm.csv,"C,C,C,C,Cm,G#,Cm,C,Cm,G#,F,Cm,C,C,A#,Cm,G#,D#,A#,Am,G#,Fm,G#,Fm,Cm,D#,Fm,G#,Fm,Cm,G,Cm,C,Cm,F,Cm,G#,Cm,Gm,Cm,G#,D#,Am,G#,Fm,G#,Fm,Cm,D#,Fm,G#,Fm,Cm,G,G,C,Cm",C#
1,6000002,7nq8DgNdgYGihJrZYB221C.csv,"G#,E,C,C,G,Am,Em,F#m,Gm,C,Am,C,E,F#m,E,C,D,C,D,Em,Fm,G#m,C,G,Am,G,Am,C,F#m,E,G,B,Em,C,A,Em,C#dim,E",D#
2,6000003,54T6BKSPCO5NcFXHzrSb9W.csv,"C,F,G#,G#,A#,G,Cm,F,G#,Fm,A#,G,C,D,G#,B,A#,D#,F,D#,D,C,D,G#,B,Cm,D,D#,F,G,F,G,G#,B,Cm,G,C,Cm,C,Dm,G#,Cm,C,Dm,Cm,Dm,G#,Cm,Cm,Fm,Dm,C,G#,Fm,G#,C#,F,Cm,Dm,C#,A#m,Fm,F,Cm,Dm,Cm,Fm,Cm,Fm,Cm,Fm,Cm,F,D#,D,Cm,Fm,D#,G#,D#,Dm,C,D",A
3,6000004,2CVf3ApXLk1cXQ2B6Z9ZlS.csv,"C,Cm,F,C,Cm,F,Cm,A#,Cm,F,A#,Cm,A#,Cm,A#,Cm,F,Cm,G#,Cm,D#,A#,F,A#,Cm,D#,G#,F,Cm,C,D#,G#,A#,Cm,G#,F,G#,C,F,G#,A#,C,F,G#,A#,C,F,G#,A#,Cm,A#,Fm,D#,C,G#,A#,F,G#,C,D#,A#,F,Cm,D#,G#,F,Cm,D#,G#,A#,G#,A#,Fm,Gm,C,G#,D#,F,G#,C",C#
4,6000005,4hbO390vbRE8dNVx3oCwaF.csv,"Cm,G#,Cm,Fm,Cm,G,C,G#,Cm,Fm,D#,G,Cm,G#,Fm,G,Cm,G#,Fm,Cm,G#,Cm,Fm,D#,G,Cm,G#,Cm,Fm,D#,G,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,C,G,C,G#,C,Fm,D#,D,Cm,G#,Cm,Fm,Cm,G,Cm,G#,Cm,Fm,Cm,G,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,C,G,C,G#,C,G#,C,G#,G#m,D#,G,Cm,G#,G#m,D#,D#,G,Cm,G#,G#m,D#,G,Fm,Cm,G,Cm,G,F,Fm,Cm,G,Cm,G,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,Cm,G#,Fm,C,G,C,G#,D#,G,G,Cm,C",E
5,6000006,3kxEAkXVz45ysdavxSCuid.csv,"C,Am,D,C,C,C,F,Cm,C,Cm,Dm,Cm,Gm,C,D,Cm,F,C,D,Cm,F,C,D,Cm,F,C,D,Cm,F,C,Cm,G#,A#,Cm,G#,A#,G#,A#,Cdim,G#,G,G#,A#,Cm,G,G#,A#,Cm,G,G,C,D,D#,F#m,F,Cm,D,Cm,G#,F,D#,C,D,C,G#,A#,C,C,D",E
6,6000007,3I0AM51TcmZBTfVi0gDFFU.csv,"G,C,C,E,C,E,C,E,C,E,D,E,D,E,D,C,Em,D,Em,C,Em,C,E,C,E,C,Em,C,Em,C,Em,C,E,D,E,D,E,D,E,D,C,E,C,Em,C,Em,C,Em,Em,C,G,C,E,C,Em,C,E,C,Em,D,E,D,Em,C,E,C,D,D,E,C,E,C,E,C,E,C,E,C,E,C,E,C,E,C,E,C,E,C,E",C
7,6000008,1cp7pENCkTI63S6TIjFyVN.csv,"Cm,G,D#,G,Cm,F,Cm,Gm,Cm,G,Cm,G,Cm,G,Cm,Em,Cm,F,Cm,F,G,Cm,Gm,Cm,G,Cm,G,Cm,A#,G#,G,Cm,Cm,G,Cm,G,Cm,C,D#",B
8,6000009,4UicwYFLdxrFl2gLVvlsiF.csv,"C,Em,C,Em,C,Em,C,Em,C,G,Am,Em,C,G,Am,Em,C,G,C,B,G,C,B,G,C,B,G,C,B,Em,Bm,G,C,Em,C,G,C,Em,C,Em,F,Bm,Em,C,G,C,Bm,Em,C,Bm,C,Am,Em,C,Em,C,Em,Am,Em,C,Em,C,Em,C,G,C,B,G,C,B,G,C,B,G,C,B,Em,C,Em,C,Em,C,Em,C,G,C,Em,C,Em,Am,Em,Am,G,C,G",E
9,6000010,3PTD2eturmZsdedW6reT1p.csv,"A#,A,G#,G,Cm,D#m,A#,D#m,A#,Cm,A#,A#m,Am,G,Cm,F,G#m,Cm,G,Gm,F,A#,Cm,Dm,D#,A#,A#dim,D#,G,C#,Dm,Bm,Cm,G,F#,F,A#,F#,F,A#,G,F#,F,G,Cm,Dm,Cm,G,Gm,F,Cdim,Gm,A#,E,D#,D#m,A#,G#,G,Cm,A#,D#m,A#,F,A#,Cm,Dm,C,A,Cm,Bdim,Cm,F,E,Cm,G,D#,A#,Cm,A#,F,Dm,Gm,C#m,Cm,G,Cm,Dm,G,Cm,G,D,Em,F,A#,F#,Dm,A#,G#m,A#,Cm,A#,C#m,Cm,G,Cm,F,Cm,G,Cm,Gm,Dm,F#,Gm,F#,Fm,A#,E,D#,F#,D#m,A#,G#,Gm,G,D#,Gm,D#dim,Dm,F#,G,Cm,A#,D#m,A#,F,A#,A#",A#
