,id_spotify_track,id_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,popularity,album_name,release_date,year,mood,id_chord
0,3quIqeqcnQaiyM8X7kK7Wm,,0.343,0.267,1,-12.911,0,0.0314,0.965,0.00314,0.111,0.12,131.576,214079,4,,,,,,2,6000001
1,7nq8DgNdgYGihJrZYB221C,,0.716,0.808,7,-5.677,0,0.349,0.727,0.0,0.0786,0.391,76.022,211451,4,,,,,,7,6000002
2,54T6BKSPCO5NcFXHzrSb9W,,0.0994,0.554,9,-11.47,0,0.055,0.505,0.96,0.325,0.0671,73.221,306101,4,,,,,,3,6000003
3,2CVf3ApXLk1cXQ2B6Z9ZlS,,0.171,0.508,1,-8.857,0,0.044,0.329,0.00651,0.133,0.161,199.888,194688,3,,,,,,3,6000004
4,4hbO390vbRE8dNVx3oCwaF,,0.592,0.836,4,-3.818,0,0.0315,0.282,0.00226,0.145,0.2,102.539,364460,3,,,,,,4,6000005
5,3kxEAkXVz45ysdavxSCuid,,0.247,0.463,2,-14.765,1,0.0604,0.104,0.883,0.109,0.0888,124.91,235728,4,,,,,,2,6000006
6,3I0AM51TcmZBTfVi0gDFFU,,0.8,0.768,4,-10.9,0,0.0529,0.00137,0.82,0.053,0.358,119.994,408000,4,,,,,,7,6000007
7,1cp7pENCkTI63S6TIjFyVN,,0.656,0.735,6,-6.531,0,0.0702,0.0259,4.04e-06,0.0755,0.738,107.612,217800,4,,,,,,10,6000008
8,4UicwYFLdxrFl2gLVvlsiF,,0.803,0.881,1,-6.628,0,0.189,0.167,0.002,0.221,0.776,125.992,241367,4,,,,,,11,6000009
9,3PTD2eturmZsdedW6reT1p,,0.376,0.141,8,-10.902,1,0.0365,0.895,0.000171,0.14,0.191,183.841,292288,3,,,,,,1,6000010
10,6X1NTiQlYqVr94gB7T2GFj,,0.671,0.359,7,-8.588,1,0.0618,0.749,3.15e-06,0.0563,0.671,138.912,235493,4,,,,,,9,6000011
11,4IVyX0UJzGyUk0MLiz1jVJ,,0.615,0.177,5,-16.925,0,0.0465,0.82,0.000186,0.135,0.383,124.558,258960,4,,,,,,5,6000012
12,5S11x5kTJN5SLSY0RDDFMI,,0.826,0.527,7,-11.922,0,0.0476,0.144,0.836,0.131,0.793,106.771,311827,4,,,,,,10,6000013
13,2c3iovaZqJhIhXnV28dand,,0.925,0.615,5,-4.606,1,0.0355,0.173,0.0,0.063,0.819,119.938,200773,4,,,,,,10,6000014
14,2hHAjvHx7gZL3zSPHYMEwn,,0.835,0.499,0,-10.561,1,0.0386,0.0695,0.837,0.105,0.91,93.016,336067,4,,,,,,9,6000015
