id_chord,id_track,chords,orig_key
202646,3034,"C,F,C,F,C,F,C,F,C,F,Am,G,F,Am,G,F,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,C,F,C,F,C,F,Am,G,F,Am,G,F,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G",C
1234782,8279,"Am,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,F,Am,F,Am,F,Am,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,F,Am,F,Am,F,Am,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,C,C,C,C,F,C,F,C,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,F,Am,G,F,Am,G,F,F,Am,G,F,Am,G,F,F,Am,G,F,Am,G,F,F,Am,G,F,Am,G,F,F,Am,G,F,Am,G,F,Am,G",E
877151,4159,"C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,Am,F,Am,G,F,C,Am,G,F,C,Am,G,F,G,Am,F,Am,G,F,C,Am,G,F,C,Am,G,F,G,Am,F,Am,F,G,F,C,Am,G,F,C,Am,G,F,G",C
1425968,8606,"Am,Am,F,C,Am,F,C,G,Am,F,C,Am,F,C,G,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,G,Am,F,C,Am,F,C,G,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,G,Am,F,C,Am,F,C,G,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C",G
808812,5384,"C,Em,F,C,F,C,G,C,Em,F,C,F,C,G,Am,F,C,G,Am,F,C,G,C,Em,F,C,F,C,G,C,Em,F,C,F,C,G,Am,F,C,G,Am,F,C,G,C,Em,F,C,F,C,G,C,Em,F,C,F,C,G,Am,F,C,G,Am,F,C,G,C,Em,F,C",E
752868,815,"A,E,F#m,F,E,A,E,F#m,F,A,E,F#m,G,A,E,F#m,F,A,E,F#m,G,C,G,F,E,C,G,F,E,F,A,E,F#m,F,A,E,F#m,G,A,E,F#m,F,A,E,F#m,G,C,G,F,E,C,G,F,E,C,G,F,E,C,G,F,E,F,C,G,F,G#,C,G,F,G#,E,Am,C,G,F,E,Am,C,G,F,E,A,E,F#m,F,A,E,F#m,G,C,G,F,E,C,G,F,E,C,G,F,E,C,G,F,E,F",F
1991659,8028,"Em,G,C,Am,D,F,F,D#,Em,G,C,Em,G,C,Em,G,C,Am,G,C,Am,G,C,C,Em,G,C,C,Em,G,C,Em,G,C,Em,G,C,Am,G,C,Am,G,C,C,Em,G,C,C,Em,G,C,Em,D#,D,C,Am,F,F,C,Em,C,C,Em,G,C,C,Em,G,C,C,Em,G,C,C,Em,G,C,Em,G,C,Em,G,C",G
1453638,8723,"C,F,C,G,C,F,C,G,C,Dm,C,F,C,G,C,F,C,G,C,C,F,C,G,C,F,C,G,C,Dm,C,F,C,G,C,F,C,G,C,C,F,C,G,C,F,C,G,C,Dm,C,F,C,G,C,F,C,G,C,C,F,C,G,C,F,C,G,C,Dm,C,F,C,G,C,F,C,G,C",G
3337,119,"C,G,F,G,C,G,F,G,C,G,F,G,Am,G,F,G,C,G,F,G,C,G,F,G,C,G,F,G,C,G,F,G,Am,G,F,G,C,G,F,G,C,G,F,G,C,G,F,G,F,G,C,G,F,G,C,G,F,G,C,C,G,F,G,C,G,C,G,F,G,C,G,F,G",C
768710,5535,"C,C,Am,Am,F,G,C,Am,F,G,C,Am,F,G,C,Am,F,G,C,Am,F,G,C,Am,F,G,F,A#,F,A#,C,Dm,Am,F,G,C,Am,F,G,C,Am,F,G,C,F,G,C,F,Dm,Em,Am,F,G,Em,F,Dm,G,C,F,Dm,F,C,C,C,Am,Am,F,G,G,C,Am,F,G,C,Am,F,G,F,A#,F,A#,C,Dm,Am,F,G,C,Am,F,G,C,Am,F,G,C",G
17417,584,"Am,Dm,G,C,E,Am,Dm,G,C,C,F,C,C,F,C,E,Am,Dm,G,C,Am,Dm,G,C,E,Am,Dm,G,C",C
1186397,7973,"C,Am,F,C,C,C,Am,F,C,C,Am,F,C,C,Am,F,C,C,Am,F,C,C,Am,F,C,C,C,Am,F,C,C,Am,F,C,C,Am,F,C,C,Am,F,C,C,Am,F,C,C,Am,F,C,C,Am,Am,C,C,Am,F,F,F,C,C,Am,F,C,C,Am,F,C,C,Am,F,C,C,Am,Am,C,Em,F,C,C,Am,F,C,C,Am,F,C,C,Am,F,C,C,Am,F,C,C,Em,F,C,C,Am,F,C,C,Am,F,C,C,F,C,C,Am,F,C",D#
83666,1823,"Am,Dm,A,C,G,D,A,Dm,A,C,G,D,A,Dm,Em,Dm,C,A#,Am,C,Dm,Em,Dm,C,A#,Am,C,Am,Dm,A,C,G,D,A,Dm,A,C,G,D,A,Dm,Em,Dm,C,A#,Am,C,Dm,Em,Dm,C,A#,Am,C,Am,Dm,Am,Dm,Am,Dm,Am,Dm,A,C,G,D,A,Dm,A,C,G,D,A,Dm,Em,Dm,C,A#,Am,C,Dm,Em,Dm,C,A#,Am,C,Am,Dm",G
12649,347,"G,G,G,G,G,F,C,G,G,F,C,G,Dm,F,G,Dm,A#,G,G,F,C,G,G,F,C,G,G,F,C,G,Dm,F,G,Dm,A#,G,Dm,F,G,Dm,A#,G,Am,F,Em,Dm,Am,C,Dm,F,G,Am,C,Dm,F,G,Am,C,Dm,F,G,Am,C,Dm,F,G,Am,C,Dm,F,G,Am,C,Dm,F,G,Am,C,Dm,F,G,Am,C,Dm,F,G,Am,C,Dm,F,G,Am",G
1029726,6384,"C,G,F,C,C,G,C,C,Em,F,C,G,C,Em,F,C,G,F,C,Dm,C,F,Am,F,C,F,C,G,C,C,Em,F,F,C,G,F,C,Dm,C,F,Am,F,C,F,C,G,C,Am,C,Dm,F,G,F,C,Dm,C,F,Am,F,C,F,C,G,F,C,Dm,G,C",C
747828,5438,"C,Am,Dm,G,Dm,G,Em,Am,G,C,C,A,Dm,G,Em,A,Dm,G,C,C,Am,Dm,G,Dm,G,Em,Am,G,C,C,A,Dm,G,Em,A,Dm,G,C,C,F,Dm,Em,Dm,G,C,C,F,Dm,G,C,C,F,Dm,G,Dm,G,C,C,F,Dm,G,C,Am,Dm,G,Dm,G,Em,Am,G,C,C,A,Dm,G,Em,A,Dm,G,C,C,C,F,Dm,G,Em,A,G#,G,C",D
