id_chord,id_spotify_track,id_track,r
202646,003vvx7Niy0yvhvHt4a68B,3034,1
1234782,006wINkRivz0PS6qANjCxY,8279,1
877151,0087fDVeNhuyMtST91RMjv,4159,1
1425968,009ImBOrIUlWgla8U05RAC,8606,1
808812,00hVU6kDP67JHurfwG2dtq,5384,1
752868,00Mb3DuaIH1kjrwOku9CGU,815,1
1991659,00mBzIWv5gHOYxwuEJXjOG,8028,1
1453638,00N78NjpgpGQgjFxjGK3P6,8723,1
3337,013AWvizllIUEC2FOBzOnh,119,1
768710,01MXkFA8sL7at6txavDErt,5535,1
17417,01SfTM5nfCou5gQL70r6gs,584,1
1186397,01uqI4H13Gsd8Lyl1EYd8H,7973,1
83666,01UYpHuzHi4eB9PAbDoPY2,1823,1
12649,0273i5ysrlovK8rr0KJfQn,347,1
1029726,02eD9ymfJOJOhM97HYp5R9,6384,1
747828,02JIdsrod3BYucThfUFDUX,5438,1
3226007,02MWAaffLxlfxAUY7c5dvx,11093,1
1009303,02rOAtUGdGuXdMPAfLybBW,6852,1
1990679,02tvc9CFnTyHuSRlGeNv9w,10190,1
762806,02XnQdf7sipaKBBHixz3Zp,5540,1
762486,030mot3ZKR3oskfMsqDB2R,5549,1
18596,03EnOL1O9EKi9CFNmPyrCm,647,1
666402,03F0Hspx6mEkiiYqEzVu5u,5021,1
1082947,03IdmP4frla6BCFZH6rkaF,7353,1
1176046,03UrZgTINDqvnUMbbIMhql,7902,1
3684230,042Sl6Mn83JHyLEqdK7uI0,11179,1
1518708,04aAxqtGp5pv12UXAg4pkq,9063,1
873754,04bsExZXrwoRXYKKDWlTIU,6074,1
748267,04g3rUk3RzqaXi02FJT2Zl,5377,1
161933,04rMpRstoJt3uvqyNGKczX,2686,1
998549,04S1pkp1VaIqjg8zZqknR5,6744,1
1983417,04sN26COy28wTXYj3dMoiZ,10165,1
1184464,05GsNucq8Bngd9fnd4fRa0,7952,1
509684,05HRKvyqH2DrgxH2HhBgMp,1943,1
1021438,05NYcsjJwOYq4jIiKPVj9p,6924,1
1051646,05oETzWbd4SI33qK2gbJfR,989,1
1186637,05SBRd4fXgn8FX7bf8BCAE,7979,1
403064,062z5ZMd0a0snMBZ75tOco,3762,1
125171,06F0XoegDM7q1ogTM3fRaI,2288,1
1981245,06gD2ZtK3Dzc1BYqWExQJJ,10162,1
372854,06wTEKL2rSrSaOjFtgG8fj,3627,1
974919,06wxyCQFJOT0bjvSPMQj7x,6576,1
327887,06ypiqmILMdVeaiErMFA91,3375,1
1905507,077IVIW6uv1lL78x7a3Oc3,9985,1
1087275,07GvNcU1WdyZJq3XxP0kZa,362,1
330018,07HqIg8BnB1lJElnw2ZiSR,3396,1
16889,07PIhdmyYIw8dMeDMsx9FU,518,1
807314,0815caqt2Lytro5EIzMufT,2689,1
190475,089YdobV7859anDvVu1TsY,2947,1
2315065,08bNPGLD8AhKpnnERrAc6G,10502,1
1674854,08hGnx7hlpmeLsFSBmDoTB,9129,1
18953,08mG3Y1vljYA6bvDt4Wqkj,668,1
3059212,092cPwFlwBXdB3QF3X469W,11068,1
1175965,098tAg0yjz9ds5oys4MAPG,7899,1
1775840,09CtPGIpYB4BrO8qb1RGsF,9592,1
2299567,09IStsImFySgyp0pIQdqAc,10481,1
2354751,09mEdoA6zrmBPgTEN5qXmN,10559,1
636001,09nEPqqMCJ5gNioi7M2dth,4856,1
95973,09x9v1o51dbqi5H0u7UGfp,587,1
1411696,0a9npeEQIad1Wr4H1RsLPU,8489,1
2230835,0AbTtxQDFRBxaEjmdrxCY9,10405,1
441256,0ADZ5dmXhlfzjMw6lefoPl,3987,1
1747044,0Afs1hDADIDxx31FyJIEXm,9442,1
1689019,0AGsEhnOTwcOS3rNRbD8aO,9188,1
990804,0AH6WMe3OlAlUb5miXt2FQ,6687,1
327857,0aJrYfARfCKzv6gXjhs4SZ,3372,1
186608,0AKAxdNkwq9ZxRdW1DN9zW,2905,1
138946,0AkZjWYCMJ8wWiNex7LmkY,2422,1
1771049,0aMBQEbvfHhAx5VH5YAiKH,9562,1
