,danceability,energy,speechiness,acousticness,liveness,valence,tempo
0,0.494,0.756,0.0432,0.0014,0.164,0.589,133.337
1,0.582,0.744,0.0336,0.000458,0.0405,0.674,133.344
2,0.614,0.755,0.0276,0.0162,0.0831,0.645,92.622
3,0.319,0.807,0.0388,0.00104,0.131,0.601,118.097
4,0.496,0.527,0.0339,0.195,0.138,0.283,155.932
5,0.577,0.89,0.0345,1.28e-05,0.0954,0.643,132.397
6,0.519,0.812,0.0278,0.00174,0.154,0.649,141.872
7,0.457,0.488,0.0301,0.326,0.154,0.283,72.517
8,0.533,0.512,0.0288,0.0475,0.0442,0.553,75.984
9,0.664,0.787,0.0239,0.038,0.193,0.585,102.952
12,0.55,0.145,0.0332,0.913,0.118,0.138,103.918
13,0.684,0.247,0.0281,0.872,0.113,0.768,106.522
14,0.536,0.928,0.0589,0.0154,0.2,0.389,136.258
15,0.526,0.665,0.0243,0.407,0.169,0.285,158.493
16,0.511,0.517,0.0328,0.13,0.074,0.433,75.67
17,0.33,0.905,0.0497,0.000233,0.0712,0.259,163.142
18,0.585,0.494,0.0353,0.363,0.0886,0.634,133.822
19,0.561,0.593,0.0264,0.00327,0.0967,0.574,80.282
20,0.481,0.638,0.0276,0.153,0.154,0.497,79.064
22,0.311,0.815,0.0443,0.253,0.608,0.7,147.173
23,0.606,0.834,0.0369,0.0155,0.133,0.459,143.681
24,0.674,0.347,0.0364,0.396,0.0916,0.647,102.013
25,0.543,0.912,0.0601,0.00162,0.0565,0.836,103.731
27,0.633,0.754,0.0382,0.0316,0.091,0.641,137.047
28,0.527,0.418,0.0277,0.142,0.139,0.217,129.517
29,0.555,0.698,0.0287,0.403,0.0851,0.816,168.12
31,0.595,0.885,0.0518,0.0744,0.0844,0.643,137.243
32,0.32,0.62,0.0594,0.64,0.253,0.472,86.327
33,0.554,0.659,0.0366,0.773,0.307,0.337,106.134
34,0.732,0.494,0.0406,0.299,0.0919,0.799,126.986
35,0.515,0.43,0.0372,0.0097,0.129,0.104,91.844
36,0.765,0.502,0.0321,0.119,0.171,0.836,144.204
37,0.766,0.882,0.0719,0.0674,0.281,0.544,107.932
38,0.421,0.846,0.0283,0.00174,0.166,0.613,158.351
39,0.328,0.936,0.0628,0.0665,0.165,0.31,162.97
40,0.588,0.435,0.0268,0.787,0.0801,0.305,88.068
41,0.376,0.423,0.0242,0.54,0.361,0.299,85.213
42,0.252,0.902,0.0392,0.0421,0.309,0.306,91.474
43,0.55,0.581,0.0325,0.367,0.122,0.475,165.981
44,0.55,0.702,0.0281,0.046,0.119,0.515,159.968
45,0.42,0.672,0.027,0.0067,0.108,0.476,168.019
46,0.487,0.279,0.0265,0.647,0.11,0.162,139.362
47,0.441,0.258,0.0276,0.661,0.106,0.172,77.988
49,0.497,0.89,0.0445,0.00055,0.255,0.249,133.047
50,0.568,0.522,0.0247,0.174,0.189,0.49,77.033
51,0.505,0.258,0.0297,0.805,0.12,0.641,141.003
52,0.489,0.389,0.0284,0.877,0.105,0.254,131.366
53,0.484,0.165,0.0498,0.728,0.115,0.193,159.174
54,0.554,0.74,0.0803,0.698,0.225,0.804,133.363
55,0.628,0.749,0.03,0.0569,0.134,0.31,129.2
56,0.47,0.397,0.0345,0.253,0.109,0.487,128.69
57,0.512,0.69,0.0249,0.162,0.167,0.417,107.839
58,0.621,0.8,0.0344,0.0263,0.0591,0.968,149.91
59,0.688,0.477,0.029,0.38,0.0864,0.897,132.071
60,0.559,0.473,0.0279,0.446,0.154,0.397,121.227
62,0.601,0.532,0.0286,0.432,0.0925,0.341,136.571
63,0.552,0.265,0.0332,0.415,0.107,0.212,135.476
65,0.589,0.453,0.0397,0.703,0.134,0.513,139.148
66,0.551,0.293,0.0272,0.486,0.0864,0.322,106.798
67,0.582,0.33,0.0347,0.791,0.105,0.407,111.873
68,0.22,0.769,0.054,0.208,0.0985,0.495,170.773
69,0.352,0.698,0.0303,0.0353,0.113,0.256,142.57
70,0.502,0.49,0.0502,0.353,0.23,0.302,79.383
71,0.52,0.49,0.0286,0.413,0.121,0.76,117.755
72,0.701,0.316,0.0843,0.496,0.121,0.889,136.73
73,0.592,0.865,0.0282,0.0867,0.103,0.659,124.278
74,0.475,0.432,0.0302,0.183,0.161,0.648,94.605
75,0.382,0.416,0.0302,0.0733,0.0719,0.125,102.089
76,0.623,0.607,0.0353,0.147,0.227,0.614,89.654
77,0.506,0.554,0.0339,0.339,0.112,0.375,124.724
78,0.48,0.792,0.0411,0.00238,0.169,0.465,114.605
79,0.388,0.338,0.0329,0.652,0.248,0.478,177.765
80,0.626,0.134,0.0298,0.467,0.113,0.239,91.893
81,0.547,0.707,0.0338,8.14e-05,0.285,0.654,119.576
82,0.465,0.812,0.0467,0.00591,0.408,0.811,146.2
83,0.559,0.393,0.0237,0.717,0.0532,0.669,90.105
84,0.649,0.425,0.0267,0.378,0.108,0.651,107.383
85,0.655,0.606,0.0285,0.0603,0.0757,0.765,110.061
86,0.568,0.634,0.0282,0.494,0.252,0.866,142.686
87,0.612,0.289,0.0421,0.599,0.0561,0.466,183.18
88,0.658,0.374,0.026,0.723,0.112,0.367,98.898
89,0.669,0.673,0.0248,0.203,0.164,0.867,132.68
90,0.575,0.67,0.0318,0.343,0.129,0.74,139.191
91,0.509,0.827,0.0782,0.0409,0.12,0.743,135.601
92,0.529,0.146,0.0499,0.758,0.1,0.407,143.603
93,0.509,0.68,0.0372,0.36,0.0824,0.802,99.924
94,0.572,0.302,0.0286,0.743,0.125,0.389,105.54
95,0.699,0.197,0.0383,0.655,0.0716,0.361,122.871
96,0.389,0.396,0.0332,0.887,0.0828,0.585,171.86
97,0.747,0.226,0.0414,0.908,0.107,0.778,123.792
98,0.684,0.698,0.041,0.332,0.122,0.839,132.846
99,0.456,0.419,0.0247,0.117,0.178,0.425,146.148
100,0.533,0.313,0.0298,0.386,0.0868,0.225,133.615
101,0.214,0.423,0.0323,0.53,0.119,0.136,76.145
103,0.523,0.716,0.0431,0.134,0.988,0.222,98.619
104,0.508,0.774,0.0321,0.0586,0.063,0.942,178.946
105,0.578,0.817,0.0363,0.183,0.285,0.726,141.621
