,id_song,id_spotify_track,year,artist,name,release_date,percentage,rank,position,id_experiment
0,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,100,0,0,100
0,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,0,704
0,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,0,703
0,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,0,702
0,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,0,700
0,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,0,600
0,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,0,502
0,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,0,500
0,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,0,400
0,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,0,300
0,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,0,202
0,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,100,0,0,103
0,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,0,102
0,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,0,200
1,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,1,100
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,99.996,0.004102612,1,704
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,100,0,1,703
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,99.168,0.832018136,1,702
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,75.678,24.32216485,1,700
1,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,1,103
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,100,0,1,102
2,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,75.09,24.91018058,4,700
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,85.026,14.97372481,4,500
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,99.381,0.618898548,5,502
3,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,75.031,24.96864299,6,700
2,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,98.73,1.269673084,8,702
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,85.025,14.97511662,8,400
2,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,99.991,0.008706308,9,704
3,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,98.714,1.285982105,9,702
3,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,99.991,0.008898017,11,704
4,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,98.627,1.372640393,16,702
2,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,84.556,15.44423736,16,500
2,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,84.908,15.09182414,16,400
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,92.124,7.876343448,19,600
4,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,99.99,0.009816236,20,704
2,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,92.097,7.90256921,21,600
1,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,99.455,0.545218652,21,202
2,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,99.311,0.688666482,22,703
2,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,99.287,0.71276148,22,502
3,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,99.279,0.721145011,26,502
1,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,99.762,0.238091435,28,200
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,99.998,0.00181613,33,300
4,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,99.268,0.731736038,34,502
5,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,99.264,0.736282678,35,502
