,id_chord,id_spotify_track,year,artist,name,release_date,percentage,rank,position,id_experiment
0,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,100.0,0.0,0,100
1,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100.0,0.0,1,100
2,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,98.742,1.257849165,93,100
3,5000023,6f46TyGZm5oeKIP54PLvql,2014,Glee Cast,The Scientist (Glee Cast Version),,98.363,1.63653614,257,100
4,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,98.336,1.663620252,269,100
5,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,98.269,1.730953702,313,100
6,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,98.269,1.730953702,314,100
7,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,97.975,2.02549019,574,100
8,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,97.761,2.239079088,780,100
9,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,97.584,2.416143015,1015,100
10,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,97.39,2.610032884,1285,100
11,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,97.133,2.866502763,1692,100
12,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,97.074,2.925660571,1799,100
13,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,96.866,3.134464207,2140,100
0,180849,3jButwtJMLx3Ub61BfRiHh,0,,the scientist,2022-06-03,100.0,0.0,0,704
1,6001027,75JFxkI2RXiU7L9VXzMkle,0,,,,99.996,0.004102611914277,1,704
2,5000017,34dnNAUoIPcwnK0RtVMBWZ,0,,,,99.991,0.0087063079699873,9,704
3,5000019,49ilSrZNQcle6PYw8rtvzM,0,,,,99.991,0.0088980169966816,11,704
4,5000001,025vpSSyndhVZezl8rUF6L,0,,,,99.99,0.0098162358626723,20,704
5,5000020,66Z3LdLjtwfIdHFF0wZa5B,0,,,,99.988,0.0118097933009266,66,704
6,1686718,2LbHYfTYW6TipHInIjqdaQ,0,,the scientist,2015-04-28,99.988,0.0120290555059909,72,704
7,5000013,2LbHYfTYW6TipHInIjqdaQ,0,,,,99.988,0.0120728220790624,73,704
8,5000018,49Nzxf1LskunwmZ6EyWUew,0,,,,99.988,0.0122330170124769,78,704
9,5000011,5FoM2ZWwhgTxHFFh2stUw6,0,,,,99.985,0.0149265341460704,335,704
10,5000008,68iMdxXn1timrxURm9dR8C,0,,,,99.985,0.0153089947998523,396,704
11,5000007,6TyaYGQKCnRLVTOQlXvYAA,0,,,,99.984,0.0159281846135854,487,704
12,5000012,7tn1tcxenMwDXrYTOjS3z1,0,,,,99.983,0.016551598906517,596,704
0,180849,3jButwtJMLx3Ub61BfRiHh,0,,the scientist,2022-06-03,100.0,0.0,0,703
1,6001027,75JFxkI2RXiU7L9VXzMkle,0,,,,100.0,0.0,1,703
2,5000017,34dnNAUoIPcwnK0RtVMBWZ,0,,,,99.311,0.6886664816489374,22,703
3,5000001,025vpSSyndhVZezl8rUF6L,0,,,,99.214,0.7859564987758323,42,703
4,5000008,68iMdxXn1timrxURm9dR8C,0,,,,99.151,0.8490937205067948,77,703
5,5000019,49ilSrZNQcle6PYw8rtvzM,0,,,,99.13,0.8699468975973379,88,703
6,1686718,2LbHYfTYW6TipHInIjqdaQ,0,,the scientist,2015-04-28,99.085,0.9148106347791538,111,703
7,5000013,2LbHYfTYW6TipHInIjqdaQ,0,,,,99.085,0.9148106347791538,112,703
8,5000020,66Z3LdLjtwfIdHFF0wZa5B,0,,,,98.965,1.0350378888391685,214,703
9,5000018,49Nzxf1LskunwmZ6EyWUew,0,,,,98.911,1.0885668370515895,271,703
10,5000011,5FoM2ZWwhgTxHFFh2stUw6,0,,,,98.875,1.1250826675122882,325,703
11,5000007,6TyaYGQKCnRLVTOQlXvYAA,0,,,,98.747,1.2530636786721137,544,703
12,5000012,7tn1tcxenMwDXrYTOjS3z1,0,,,,98.701,1.2991651439388543,640,703
0,180849,3jButwtJMLx3Ub61BfRiHh,0,,the scientist,2022-06-03,100.0,0.0,0,702
1,6001027,75JFxkI2RXiU7L9VXzMkle,0,,,,99.168,0.8320181361150761,1,702
2,5000017,34dnNAUoIPcwnK0RtVMBWZ,0,,,,98.73,1.2696730841972603,8,702
3,5000019,49ilSrZNQcle6PYw8rtvzM,0,,,,98.714,1.285982104603136,9,702
4,5000001,025vpSSyndhVZezl8rUF6L,0,,,,98.627,1.3726403934843754,16,702
5,1686718,2LbHYfTYW6TipHInIjqdaQ,0,,the scientist,2015-04-28,98.493,1.507311923768022,39,702
6,5000018,49Nzxf1LskunwmZ6EyWUew,0,,,,98.487,1.5129304130306531,41,702
7,5000013,2LbHYfTYW6TipHInIjqdaQ,0,,,,98.47,1.530000092440899,43,702
8,5000011,5FoM2ZWwhgTxHFFh2stUw6,0,,,,98.294,1.7057762878918463,119,702
9,5000007,6TyaYGQKCnRLVTOQlXvYAA,0,,,,98.234,1.7662847413047875,175,702
10,5000020,66Z3LdLjtwfIdHFF0wZa5B,0,,,,98.155,1.8452548292262096,264,702
11,5000012,7tn1tcxenMwDXrYTOjS3z1,0,,,,98.153,1.8467499043659967,267,702
12,5000008,68iMdxXn1timrxURm9dR8C,0,,,,97.785,2.214871471121661,1100,702
0,180849,3jButwtJMLx3Ub61BfRiHh,0,,the scientist,2022-06-03,100.0,0.0,0,700
1,6001027,75JFxkI2RXiU7L9VXzMkle,0,,,,75.678,24.322164849182663,1,700
2,5000019,49ilSrZNQcle6PYw8rtvzM,0,,,,75.09,24.910180576344843,4,700
3,5000017,34dnNAUoIPcwnK0RtVMBWZ,0,,,,75.031,24.968642994651308,6,700
4,5000013,2LbHYfTYW6TipHInIjqdaQ,0,,,,74.497,25.50278524039753,112,700
5,1686718,2LbHYfTYW6TipHInIjqdaQ,0,,the scientist,2015-04-28,74.236,25.764164651785933,301,700
6,5000012,7tn1tcxenMwDXrYTOjS3z1,0,,,,74.05,25.949933854164197,489,700
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,0,,,,73.709,26.291282044506367,787,700
8,5000001,025vpSSyndhVZezl8rUF6L,0,,,,73.132,26.86777998095351,1102,700
9,5000018,49Nzxf1LskunwmZ6EyWUew,0,,,,72.097,27.90255337186364,1298,700
10,5000007,6TyaYGQKCnRLVTOQlXvYAA,0,,,,59.896,40.10424644778399,1866,700
11,5000020,66Z3LdLjtwfIdHFF0wZa5B,0,,,,56.509,43.49050408088995,1923,700
12,5000008,68iMdxXn1timrxURm9dR8C,0,,,,54.158,45.84156542990232,1959,700
0,180849,3jButwtJMLx3Ub61BfRiHh,0,,the scientist,2022-06-03,100.0,0.0,0,600
1,6001027,75JFxkI2RXiU7L9VXzMkle,0,,,,92.124,7.876343447773554,19,600
2,5000019,49ilSrZNQcle6PYw8rtvzM,0,,,,92.097,7.902569209874099,21,600
3,5000017,34dnNAUoIPcwnK0RtVMBWZ,0,,,,91.605,8.394682387941812,62,600
4,1686718,2LbHYfTYW6TipHInIjqdaQ,0,,the scientist,2015-04-28,91.509,8.490850519752463,71,600
5,5000013,2LbHYfTYW6TipHInIjqdaQ,0,,,,91.205,8.795120459064744,108,600
6,5000018,49Nzxf1LskunwmZ6EyWUew,0,,,,91.1,8.900340537586155,130,600
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,0,,,,90.839,9.161096228639,196,600
8,5000001,025vpSSyndhVZezl8rUF6L,0,,,,90.756,9.24378556292389,220,600
9,5000012,7tn1tcxenMwDXrYTOjS3z1,0,,,,90.695,9.304555889588428,244,600
10,5000007,6TyaYGQKCnRLVTOQlXvYAA,0,,,,85.63,14.36981542933045,2444,600
11,5000008,68iMdxXn1timrxURm9dR8C,0,,,,61.89,38.109755643816335,5068,600
12,5000020,66Z3LdLjtwfIdHFF0wZa5B,0,,,,58.462,41.53761680240157,5174,600
13,5000023,6f46TyGZm5oeKIP54PLvql,0,,,,14.166,85.8337919922225,5775,600
0,180849,3jButwtJMLx3Ub61BfRiHh,0,,the scientist,2022-06-03,100.0,0.0,0,502
1,6001027,75JFxkI2RXiU7L9VXzMkle,0,,,,99.381,0.6188985482470328,5,502
2,1686718,2LbHYfTYW6TipHInIjqdaQ,0,,the scientist,2015-04-28,99.287,0.7127614800814949,22,502
3,5000013,2LbHYfTYW6TipHInIjqdaQ,0,,,,99.279,0.7211450111076356,26,502
4,5000018,49Nzxf1LskunwmZ6EyWUew,0,,,,99.268,0.7317360377314976,34,502
5,5000017,34dnNAUoIPcwnK0RtVMBWZ,0,,,,99.264,0.736282677812666,35,502
6,5000007,6TyaYGQKCnRLVTOQlXvYAA,0,,,,99.26,0.7399358540059704,38,502
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,0,,,,99.255,0.7449691693809619,40,502
8,5000019,49ilSrZNQcle6PYw8rtvzM,0,,,,99.232,0.7679222730291704,50,502
9,5000001,025vpSSyndhVZezl8rUF6L,0,,,,99.185,0.8147592114248733,92,502
10,5000012,7tn1tcxenMwDXrYTOjS3z1,0,,,,99.141,0.8589618209609801,136,502
11,5000008,68iMdxXn1timrxURm9dR8C,0,,,,98.953,1.0469202048307291,743,502
12,5000020,66Z3LdLjtwfIdHFF0wZa5B,0,,,,98.643,1.3566955590864989,2837,502
13,5000023,6f46TyGZm5oeKIP54PLvql,0,,,,98.31,1.6895859817779963,4841,502
0,180849,3jButwtJMLx3Ub61BfRiHh,0,,the scientist,2022-06-03,100.0,0.0,0,500
1,6001027,75JFxkI2RXiU7L9VXzMkle,0,,,,85.026,14.973724811075131,4,500
2,5000019,49ilSrZNQcle6PYw8rtvzM,0,,,,84.556,15.444237362109105,16,500
3,5000017,34dnNAUoIPcwnK0RtVMBWZ,0,,,,84.428,15.571727968076658,35,500
4,5000013,2LbHYfTYW6TipHInIjqdaQ,0,,,,83.853,16.146512966919396,282,500
5,1686718,2LbHYfTYW6TipHInIjqdaQ,0,,the scientist,2015-04-28,83.735,16.264552676180557,376,500
6,5000012,7tn1tcxenMwDXrYTOjS3z1,0,,,,83.618,16.382341711418924,492,500
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,0,,,,83.596,16.40417401134084,513,500
8,5000001,025vpSSyndhVZezl8rUF6L,0,,,,82.203,17.797274792337017,1784,500
9,5000018,49Nzxf1LskunwmZ6EyWUew,0,,,,81.406,18.593783299942366,2205,500
10,5000007,6TyaYGQKCnRLVTOQlXvYAA,0,,,,73.308,26.69183691092512,4097,500
11,5000020,66Z3LdLjtwfIdHFF0wZa5B,0,,,,65.333,34.66697667431765,4813,500
12,5000008,68iMdxXn1timrxURm9dR8C,0,,,,62.701,37.29863964477616,4960,500
13,5000023,6f46TyGZm5oeKIP54PLvql,0,,,,4.115,95.8846002229161,5844,500
0,180849,3jButwtJMLx3Ub61BfRiHh,0,,the scientist,2022-06-03,100.0,0.0,0,400
