,id_chord,id_spotify_track,year,artist,name,release_date,percentage,rank,position,id_experiment
2,1186397,01uqI4H13Gsd8Lyl1EYd8H,2012,Macklemore & Ryan Lewis,same love,10/9/12,99.823,0.176593414,2,200
3,1186397,01uqI4H13Gsd8Lyl1EYd8H,2012,Macklemore & Ryan Lewis,same love,10/9/12,99.537,0.462869637,3,202
9,1186397,01uqI4H13Gsd8Lyl1EYd8H,2012,Macklemore & Ryan Lewis,same love,10/9/12,99.33,0.669943001,9,502
6,1186397,01uqI4H13Gsd8Lyl1EYd8H,2012,Macklemore & Ryan Lewis,same love,10/9/12,98.793,1.206593904,6,702
7,1186397,01uqI4H13Gsd8Lyl1EYd8H,2012,Macklemore & Ryan Lewis,same love,10/9/12,99.992,0.008193386,7,704
2,1029726,02eD9ymfJOJOhM97HYp5R9,2009,Miranda Lambert,the house that built me,9/24/09,98.942,1.057705005,2,702
3,1029726,02eD9ymfJOJOhM97HYp5R9,2009,Miranda Lambert,the house that built me,9/24/09,99.535,0.464522331,3,703
2,1029726,02eD9ymfJOJOhM97HYp5R9,2009,Miranda Lambert,the house that built me,9/24/09,99.993,0.007325115,2,704
3,748267,04g3rUk3RzqaXi02FJT2Zl,2008,Taylor Swift,white horse,11/11/08,85.293,14.70737708,3,400
2,748267,04g3rUk3RzqaXi02FJT2Zl,2008,Taylor Swift,white horse,11/11/08,85.127,14.87334647,2,500
2,748267,04g3rUk3RzqaXi02FJT2Zl,2008,Taylor Swift,white horse,11/11/08,75.465,24.53456983,2,700
4,1747044,0Afs1hDADIDxx31FyJIEXm,2017,Cassandra,cinta terbaik,8/4/17,99.355,0.64473036,4,100
9,1747044,0Afs1hDADIDxx31FyJIEXm,2017,Cassandra,cinta terbaik,8/4/17,99.864,0.135917222,9,102
9,1747044,0Afs1hDADIDxx31FyJIEXm,2017,Cassandra,cinta terbaik,8/4/17,99.962,0.038402751,9,103
7,88594,0bdGCUVn84V7F1Da1ABn5U,2020,Long May Your Run,long may you run,9/3/20,85.039,14.96132685,7,400
9,88594,0bdGCUVn84V7F1Da1ABn5U,2020,Long May Your Run,long may you run,9/3/20,74.969,25.03137852,9,700
6,2689908,15xWRPHQMeqgdkGzInx3PY,2019,James Arthur,falling like the stars,5/10/19,84.813,15.18688637,6,500
7,2689908,15xWRPHQMeqgdkGzInx3PY,2019,James Arthur,falling like the stars,5/10/19,75.007,24.99276805,7,700
9,41961,1JkZg3eMQTmTn93E8Yd3UL,1997,Cheap Trick,i want you to want me,1977-09,99.792,0.208308677,9,200
9,937028,1NhPKVLsHhFUHIOZ32QnS2,2009,OneRepublic,secrets,1/1/09,84.708,15.29161473,9,500
4,1168573,1NNAI51EuoRWw1ydX1zV7S,2012,Maroon 5,daylight,1/1/12,99.815,0.185495478,4,200
7,1168573,1NNAI51EuoRWw1ydX1zV7S,2012,Maroon 5,daylight,1/1/12,99.516,0.484352384,7,202
3,924061,1sDfnkQge4Nmkp8sgLgH1i,2008,Bunga Citra Lestari,kecewa,2008,99.446,0.553921112,3,100
8,924061,1sDfnkQge4Nmkp8sgLgH1i,2008,Bunga Citra Lestari,kecewa,2008,99.876,0.123625165,8,102
7,924061,1sDfnkQge4Nmkp8sgLgH1i,2008,Bunga Citra Lestari,kecewa,2008,99.965,0.035088208,7,103
5,6001258,1SgYfY3itrGgfdQikn2lhY,2013,Oblivion,,,98.814,1.185949532,5,702
4,6001258,1SgYfY3itrGgfdQikn2lhY,2013,Oblivion,,,99.992,0.007834909,4,704
5,6000395,1XIGMVFVnTlt9IvT7FnhsO,2008,Poets of the Fall,,,99.27,0.730403321,5,100
4,1884102,24MnugltPOO1mf8Ux29Alj,2022,Lady Gaga,million reasons,6/2/22,99.411,0.588653654,4,502
5,1884102,24MnugltPOO1mf8Ux29Alj,2022,Lady Gaga,million reasons,6/2/22,92.95,7.049505599,5,600
4,6000489,2BhSWL8q2kXfHvNSEBLUYw,2015,Elliot Root,I.Y.H,,99.898,0.101533505,4,102
5,6000489,2BhSWL8q2kXfHvNSEBLUYw,2015,Elliot Root,I.Y.H,,99.968,0.032016508,5,103
6,334542,2bUXfclD8DwJwwUENtSCWu,2017,Elton John,your song,11/10/17,99.458,0.541806306,6,703
3,6001239,2cFWt6kXHjqVAvVnGgS8ET,2015,James Bay,Incomplete,,99.908,0.092010011,3,102
3,6001239,2cFWt6kXHjqVAvVnGgS8ET,2015,James Bay,Incomplete,,99.972,0.028335685,3,103
6,450492,2GsPNtDbbTLnQ0nISq9MmC,2006,The Frames,falling slowly,9/22/06,99.992,0.007990764,6,704
3,1148352,2R6UrJ8uWbSIiHWmvRQvN8,1998,Metallica,whiskey in the jar,1/1/98,99.823,0.177126855,3,200
1,1148352,2R6UrJ8uWbSIiHWmvRQvN8,1998,Metallica,whiskey in the jar,1/1/98,99.603,0.396546887,1,202
5,1148352,2R6UrJ8uWbSIiHWmvRQvN8,1998,Metallica,whiskey in the jar,1/1/98,93.929,6.071129929,5,300
9,1065079,2U8g9wVcUu9wsg6i7sFSv8,2011,Coldplay,every teardrop is a waterfall,10/24/11,99.502,0.497567926,9,202
2,1065079,2U8g9wVcUu9wsg6i7sFSv8,2011,Coldplay,every teardrop is a waterfall,10/24/11,94.26,5.739799675,2,300
5,1065079,2U8g9wVcUu9wsg6i7sFSv8,2011,Coldplay,every teardrop is a waterfall,10/24/11,85.175,14.82471863,5,400
7,1065079,2U8g9wVcUu9wsg6i7sFSv8,2011,Coldplay,every teardrop is a waterfall,10/24/11,84.782,15.21753363,7,500
6,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward & Lindsey Stirling,The Scientist,,75.031,24.96864299,6,700
8,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward & Lindsey Stirling,,,98.73,1.269673084,8,702
9,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward & Lindsey Stirling,,,99.991,0.008706308,9,704
5,1909308,35r28RDot7nPE7y9K9H7l0,2016,Post Malone,feeling whitney,12/9/16,99.803,0.197407503,5,200
5,1909308,35r28RDot7nPE7y9K9H7l0,2016,Post Malone,feeling whitney,12/9/16,99.523,0.47749642,5,202
6,1909308,35r28RDot7nPE7y9K9H7l0,2016,Post Malone,feeling whitney,12/9/16,85.053,14.94684889,6,400
9,1104043,3fDsErbmOD3TuaSDuxSXav,2011,Miranda Lambert,over you,11/1/11,99.217,0.783418248,9,100
1,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,1,100
0,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,0,102
1,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,1,103
0,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,0,200
0,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,0,202
0,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,0,300
0,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,0,400
0,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,0,500
0,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,0,502
0,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,0,600
0,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,0,700
0,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,0,702
0,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,0,703
0,180849,3jButwtJMLx3Ub61BfRiHh,2002,Coldplay,the scientist,6/3/22,100,0,0,704
7,6001230,3nnG7AM9QopHVPEuLX3Khk,2015,James Bay,Let it go,,99.258,0.741853986,7,100
5,732460,3qiyyUfYe7CRYLucrPmulD,1971,The Who,baba oriley,8/14/71,75.059,24.94096709,5,700
4,1127345,3s3ciLHOXE1xVqGkdxwHPs,2012,Jack White,love interruption,4/20/12,85.229,14.77087718,4,400
3,1127345,3s3ciLHOXE1xVqGkdxwHPs,2012,Jack White,love interruption,4/20/12,85.057,14.94317921,3,500
7,2089781,3WUEs51GpcvlgU7lehLgLh,2017,Ben & Ben,kathang isip,6/23/17,99.442,0.558363192,7,703
6,1680532,40EB7ABUO6MoWMUwPKptJ7,2015,James Bay,let it go,3/23/15,99.267,0.732680234,6,100
4,1680532,40EB7ABUO6MoWMUwPKptJ7,2015,James Bay,let it go,3/23/15,99.501,0.499279589,4,703
8,1478111,42gY5B4AGDeEqyOYSyDdwg,2018,John Mayer,xo,4/10/18,99.362,0.638213129,8,502
6,2065851,43IbCqMcMvZi1v16LFAE3n,2017,Victory Worship,safe,6/1/17,99.802,0.19806413,6,200
4,2065851,43IbCqMcMvZi1v16LFAE3n,2017,Victory Worship,safe,6/1/17,99.528,0.472397803,4,202
8,2065851,43IbCqMcMvZi1v16LFAE3n,2017,Victory Worship,safe,6/1/17,93.845,6.155223452,8,300
9,2065851,43IbCqMcMvZi1v16LFAE3n,2017,Victory Worship,safe,6/1/17,85.001,14.99916264,9,400
5,2065851,43IbCqMcMvZi1v16LFAE3n,2017,Victory Worship,safe,6/1/17,84.97,15.03041363,5,500
2,2065851,43IbCqMcMvZi1v16LFAE3n,2017,Victory Worship,safe,6/1/17,99.478,0.522278714,2,502
1,2065851,43IbCqMcMvZi1v16LFAE3n,2017,Victory Worship,safe,6/1/17,93.271,6.728501276,1,600
3,2065851,43IbCqMcMvZi1v16LFAE3n,2017,Victory Worship,safe,6/1/17,75.341,24.65879646,3,700
4,2065851,43IbCqMcMvZi1v16LFAE3n,2017,Victory Worship,safe,6/1/17,98.847,1.152774812,4,702
9,2065851,43IbCqMcMvZi1v16LFAE3n,2017,Victory Worship,safe,6/1/17,99.437,0.563124964,9,703
3,2065851,43IbCqMcMvZi1v16LFAE3n,2017,Victory Worship,safe,6/1/17,99.992,0.007636364,3,704
4,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist live ,,75.09,24.91018058,4,700
9,5000019,49ilSrZNQcle6PYw8rtvzM,2022,The Petersens,The Scientist live ,,98.714,1.285982105,9,702
9,1048915,4bcgRbGeq4IejesjsiHyTH,2011,Ed Sheeran,little bird,9/9/11,93.841,6.158998032,9,300
8,1048915,4bcgRbGeq4IejesjsiHyTH,2011,Ed Sheeran,little bird,9/9/11,92.77,7.230109544,8,600
2,1874688,4HBXdr8LXB22UPBi191b6S,2015,John Mark McMillan,king of my heart,6/23/15,99.46,0.540160582,2,100
2,1874688,4HBXdr8LXB22UPBi191b6S,2015,John Mark McMillan,king of my heart,6/23/15,99.912,0.088392864,2,102
2,1874688,4HBXdr8LXB22UPBi191b6S,2015,John Mark McMillan,king of my heart,6/23/15,99.974,0.02565934,2,103
1,2846348,4j5ffIFh7bFT7GZciP1TCy,2021,Dan + Shay & Justin Bieber,10000 hours,8/13/21,99.842,0.158068164,1,200
2,2846348,4j5ffIFh7bFT7GZciP1TCy,2021,Dan + Shay & Justin Bieber,10000 hours,8/13/21,99.573,0.427018963,2,202
4,2846348,4j5ffIFh7bFT7GZciP1TCy,2021,Dan + Shay & Justin Bieber,10000 hours,8/13/21,94.15,5.849941271,4,300
8,188071,4JSDhJVmo2UqdF7nxbyenn,2004,Hale,kung wala ka,2004,99.248,0.752358646,8,100
8,6000141,4JtUz0ZcInSokkKBalijhd,2017,NOTHING MORE,Just Say When (Version 2.0),,74.987,25.01334293,8,700
7,1713294,4LWIp8HAFxpfg37mnxHqCS,2015,Shawn Mendes,never be alone,4/14/15,98.735,1.264864711,7,702
3,672021,4wWPjMdb7owUVi5S43yFtJ,2006,Jeremy Camp,give me jesus,1/1/06,94.258,5.742266127,3,300
3,672021,4wWPjMdb7owUVi5S43yFtJ,2006,Jeremy Camp,give me jesus,1/1/06,93.128,6.871818536,3,600
7,924053,4WxpqDEOIqjx9Ux2J63K9u,2014,Bunga Citra Lestari,karena ku cinta kau,8/27/14,99.362,0.637979828,7,502
5,924053,4WxpqDEOIqjx9Ux2J63K9u,2014,Bunga Citra Lestari,karena ku cinta kau,8/27/14,99.501,0.499410899,5,703
1,1119299,5vHLwhxxlGzmClMcxRRFPr,1991,Nirvana,lithium,9/26/91,86.319,13.6810302,1,400
1,1119299,5vHLwhxxlGzmClMcxRRFPr,1991,Nirvana,lithium,9/26/91,85.892,14.10786392,1,500
5,3504560,5wANPM4fQCJwkGd4rN57mH,2021,Olivia Rodrigo,drivers license,5/21/21,99.891,0.108570369,5,102
4,3504560,5wANPM4fQCJwkGd4rN57mH,2021,Olivia Rodrigo,drivers license,5/21/21,99.97,0.030297495,4,103
