,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0200
1,2846348,4j5ffIFh7bFT7GZciP1TCy,10000 hours,2021-08-13,99.842,0.158068163647537,1,0200
2,1186397,01uqI4H13Gsd8Lyl1EYd8H,same love,2012-10-09,99.823,0.1765934140723163,2,0200
3,1148352,2R6UrJ8uWbSIiHWmvRQvN8,whiskey in the jar,1998-01-01,99.823,0.1771268547483699,3,0200
4,1168573,1NNAI51EuoRWw1ydX1zV7S,daylight,2012-01-01,99.815,0.18549547783518186,4,0200
5,1909308,35r28RDot7nPE7y9K9H7l0,feeling whitney,2016-12-09,99.803,0.19740750321698944,5,0200
6,2065851,43IbCqMcMvZi1v16LFAE3n,safe,2017-06-01,99.802,0.19806412981118277,6,0200
7,532785,6Hmj7SrLRbreLVfVS7mV1S,wake up,2004-06-16,99.799,0.20060570126770802,7,0200
8,1106926,78meKU7RcdstGohFRaQUMF,ghosts that we knew,2012-09-21,99.792,0.20760611626480532,8,0200
9,41961,1JkZg3eMQTmTn93E8Yd3UL,i want you to want me,1977-09,99.792,0.20830867704194767,9,0200
