id_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
003vvx7Niy0yvhvHt4a68B,0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,222973,4
006wINkRivz0PS6qANjCxY,0.588,0.866,9,-4.715,1,0.0852,0.152,0.000197,0.368,0.709,104.009,231547,4
0087fDVeNhuyMtST91RMjv,0.335,0.571,11,-4.711,1,0.0243,0.564,0,0.137,0.454,93.572,339053,4
009ImBOrIUlWgla8U05RAC,0.432,0.725,7,-4.862,1,0.0431,0.00273,0,0.208,0.353,128.902,228879,4
00AMIRvSD4ufll0YsCioRm,0.69,0.48,10,-7.503,1,0.0816,0.369,0,0.0649,0.286,80.025,229526,4
00Blm7zeNqgYLPtW6zg8cj,0.687,0.781,1,-4.806,1,0.053,0.0361,0,0.0755,0.688,97.014,193507,4
00CHQQ64Im23vOgMYBnCCk,0.386,0.591,6,-7.269,1,0.0384,0.293,0,0.737,0.486,81.471,241533,4
00CP7kE1QGqsE6y6msNguC,0.481,0.637,7,-9.271,1,0.0346,0.425,0,0.256,0.331,135.772,257640,4
00hVU6kDP67JHurfwG2dtq,0.645,0.417,4,-7.022,1,0.029,0.543,0,0.0982,0.256,77.054,253080,4
00jVnJ67w5xNPCiPSc1vPj,0.584,0.425,4,-8.424,1,0.036,0.848,0.00559,0.135,0.577,138.31,138532,5
00L5zl0hO6lO069lzRWNkW,0.534,0.84,7,-4.535,0,0.463,0.019,0.00000897,0.197,0.278,159.97,179250,4
00Mb3DuaIH1kjrwOku9CGU,0.487,0.9,0,-4.417,1,0.0482,0.0000679,0,0.358,0.484,149.937,204000,4
00mBzIWv5gHOYxwuEJXjOG,0.518,0.762,7,-3.907,1,0.0305,0.0851,0,0.148,0.271,155.985,285138,4
00N78NjpgpGQgjFxjGK3P6,0.483,0.321,7,-18.64,0,0.045,0.992,0.968,0.117,0.615,160.015,152000,3
00nKdBKPs0F7nJ0xzWbccg,0.549,0.414,7,-8.453,1,0.0273,0.146,0,0.0998,0.404,149.746,196907,4
00pFKTsXTYfLwGlNnUYETw,0.285,0.511,2,-2.981,1,0.0304,0.657,0,0.111,0.138,152.05,226040,4
00rZS3IVp2yNzW1tMNjd2L,0.508,0.288,0,-13.891,1,0.0336,0.885,0.169,0.0968,0.313,69.985,158012,4
00SmB7n85SKROGjybsyq5i,0.755,0.545,9,-10.027,0,0.0646,0.944,0.000118,0.144,0.964,149.807,158427,4
00uZrLOGuG6EOGGToo7GLc,0.595,0.455,0,-14.343,1,0.137,0.895,0.0000117,0.303,0.432,122.576,137853,4
00VQ3oheHZ6JOMTqLNYpcH,0.591,0.572,11,-6.783,1,0.0275,0.537,0,0.0981,0.317,73.899,227933,4
0113SDiIkRuKckSPmHuTvx,0.487,0.355,9,-7.653,0,0.0635,0.574,0,0.288,0.559,170.726,209187,5
013AWvizllIUEC2FOBzOnh,0.555,0.698,0,-8.874,1,0.0287,0.403,0,0.0851,0.816,168.12,277267,4
013CED9qUgt808UQr9jSPm,0.628,0.631,9,-6.121,0,0.0404,0.000201,0.0127,0.0418,0.391,128.992,273095,4
018eOid2aGaPdxon7T6GsC,0.487,0.456,8,-7.144,1,0.0319,0.789,0.00000179,0.141,0.348,136.088,247941,4
01cbb52SrkVOB8VuFaPoGP,0.578,0.515,0,-11.224,1,0.0428,0.661,0.000333,0.85,0.476,139.812,253933,4
01JeGl8zGqw2OV3llgjbqM,0.569,0.804,1,-4.345,1,0.0701,0.0142,0.00352,0.392,0.356,127.882,211875,4
01MXkFA8sL7at6txavDErt,0.388,0.72,7,-5.541,1,0.033,0.202,0.000288,0.283,0.554,141.283,341747,4
01Ox3uPKBqENtiWNlVaRdD,0.39,0.877,9,-4.829,1,0.0347,0.000049,0.00241,0.265,0.689,103.94,283744,4
01p2T2WtAGVbjnNhNHZfiA,0.377,0.511,2,-11.887,1,0.0447,0.076,0.000334,0.6,0.662,87.614,275680,4
01PGjCgOBlAaFg9yufgaGc,0.496,0.193,0,-8.949,1,0.0369,0.695,0.0000367,0.08,0.152,133.76,284000,3
01QdEx6kFr78ZejhQtWR5m,0.546,0.273,9,-9.208,1,0.0308,0.819,0,0.137,0.271,118.753,267833,4
01RI01ubSLgdXoYbcn9x4s,0.304,0.733,7,-5.023,1,0.0355,0.00334,0.0000134,0.157,0.344,75.827,380240,4
01SfTM5nfCou5gQL70r6gs,0.419,0.152,0,-12.126,1,0.0277,0.326,0.0034,0.113,0.239,80.608,91760,4
01sroow2RIpbhxocUB94US,0.533,0.368,9,-8.422,1,0.0282,0.595,0,0.102,0.25,111.699,232153,4
01Tuxjrce3cNUGjouAdPVm,0.56,0.541,1,-7.97,1,0.0288,0.233,0,0.118,0.278,139.746,240000,4
01uqI4H13Gsd8Lyl1EYd8H,0.688,0.473,8,-9.059,1,0.167,0.716,0.0000446,0.104,0.299,84.958,318525,4
01UYpHuzHi4eB9PAbDoPY2,0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718,205480,4
01xlFgp09pa8XfQXNytfHI,0.471,0.783,11,-6.225,1,0.0359,0.00106,0.0195,0.313,0.135,116.02,349293,4
01ZFi9rl185RtJYewlwqT5,0.889,0.216,0,-12.899,1,0.246,0.729,0.883,0.0747,0.229,130.002,195923,4
0233dmODqfxbCpHQmspl5e,0.481,0.691,10,-4.253,1,0.026,0.00158,0,0.177,0.428,83.984,251933,4
024YU7tQQUDkLLFXlarP4X,0.526,0.663,8,-6.596,0,0.3,0.557,0,0.116,0.535,73.665,288360,4
025fgzDTovTo0rKyPSW8vt,0.441,0.565,6,-5.866,1,0.0293,0.00757,0.00000656,0.104,0.373,141.963,270467,4
0273i5ysrlovK8rr0KJfQn,0.592,0.865,7,-3.183,1,0.0282,0.0867,0.00000353,0.103,0.659,124.278,234133,4
02dRkCEc8Q5ch4TTcnLxOn,0.601,0.794,7,-5.844,0,0.0671,0.00987,0.00000136,0.418,0.244,114.066,217099,4
