,experiment_id,best_score_cover,best_score_cover_id,best_score_cover_rank,1_best_song_id,1_best_song_rank,2_best_song_id,2_best_song_rank,3_best_song_id,3_best_song_rank,original_song_id
0,100,92,5000008,1.2578,1874688,0.540161,924061,0.553921,1747044,0.64473,180849
1,102,173,5000008,0.2756,1874688,0.088393,6001239,0.09201,6000489,0.101534,180849
2,103,90,5000008,0.0666,1874688,0.025659,6001239,0.028336,3504560,0.030297,180849
3,200,27,5000007,0.238,2846348,0.158068,1186397,0.176593,1148352,0.177127,180849
4,202,20,5000018,0.5452,1148352,0.396547,2846348,0.427019,1186397,0.46287,180849
5,203,38,5000007,0.0018,2846348,0.00132,1148352,0.00138,1168573,0.001406,180849
6,300,32,5000019,6.82,569357,5.471591,1065079,5.7398,672021,5.742266,180849
7,400,15,5000019,15.0918,1119299,13.68103,604358,14.636526,748267,14.707377,180849
8,500,15,5000019,15.4442,1119299,14.107864,748267,14.873346,1127345,14.943179,180849
9,502,25,5000013,0.721145,3504560,0.507442,2065851,0.522279,1025154,0.528791,180849
10,600,20,5000019,7.902569,2065851,6.728501,1025154,6.817629,672021,6.871819,180849
11,700,3,5000019,24.910181,748267,24.53457,2065851,24.658796,5000019,24.910181,180849
12,702,7,5000017,1.269673,1029726,1.057705,3504560,1.139478,2065851,1.152775,180849
13,703,21,5000017,0.688666,3504560,0.445095,1029726,0.464522,1680532,0.49928,180849
14,704,8,5000017,0.008706,1029726,0.007325,2065851,0.007636,6001258,0.007835,180849
15,800,8,5000017,0.008706,1029726,0.007325,2065851,0.007636,6001258,0.007835,180849
16,100,2992,6001997,3.429537,6002482,0.907516,6002477,0.930364,147096,0.985801,6001918
17,102,2080,6001997,0.573833,6002050,0.113664,6002096,0.121024,6002452,0.130375,6001918
18,103,1383,6001997,0.146986,6002050,0.035387,6002096,0.035886,6001996,0.039148,6001918
19,200,104,6001997,0.33785,6000373,0.17711,6001574,0.183479,6001599,0.200781,6001918
20,202,4258,6001997,1.538729,6000373,0.457261,6001599,0.568936,6000844,0.663054,6001918
21,203,3688,6001997,0.005283,6000373,0.00171,6001599,0.001776,6000316,0.002114,6001918
22,300,5573,6001997,66.391605,6000373,5.825279,6001599,9.112269,6001782,9.924445,6001918
23,400,5561,6001997,57.61747,6001674,8.424217,6001758,8.555779,6001673,9.28807,6001918
24,500,5558,6001997,57.696815,6001758,8.691928,6001674,8.792091,6001673,9.533255,6001918
25,502,3572,6001997,1.642246,6001599,0.746305,6000373,0.765191,6001574,0.775201,6001918
26,600,5565,6001997,66.78703,6000373,7.456965,6001599,10.181517,6001782,10.730711,6001918
27,700,2102,6001997,43.505029,6002017,10.125289,59609,10.434525,6001670,10.489011,6001918
28,702,237,6001997,2.273598,6001574,1.420082,6000754,1.479349,6001868,1.584183,6001918
29,703,29,6001997,0.726766,1983837,0.248565,6000304,0.248565,6001878,0.324466,6001918
30,704,57,6001997,0.009382,1863781,0.006366,6000754,0.006679,6002056,0.006721,6001918
31,800,57,6001997,0.009382,1863781,0.006366,6000754,0.006679,6002056,0.006721,6001918
32,100,234,6001653,1.909119,626894,0.524122,6001666,0.691923,6001460,0.72552,6001822
33,102,2181,6001653,0.62867,6001880,0.111954,626894,0.118073,6001460,0.150861,6001822
34,103,1652,6001653,0.171912,626894,0.035741,6001880,0.03917,6001460,0.047556,6001822
35,200,5512,6001653,0.61328,6001627,0.087205,6001834,0.10109,6000984,0.167423,6001822
36,202,4831,6001653,1.850234,6001627,0.338972,6001834,0.458063,6001510,0.653808,6001822
37,203,3902,6001653,0.006065,6001627,0.001174,6001834,0.001715,6001576,0.001988,6001822
38,300,3789,6001653,26.713965,6001627,7.528501,6001967,10.235561,6001576,10.259339,6001822
39,400,3465,6001653,21.817936,6000836,12.321309,6001576,12.44084,6000861,12.586126,6001822
40,500,3410,6001653,21.91707,6001576,12.715361,6000861,12.91689,6000836,13.164508,6001822
41,502,4386,6001653,1.954122,6002024,0.80873,6001627,0.85841,6001834,0.86149,6001822
42,600,3610,6001653,26.913429,6001627,9.946399,6001576,11.392108,6001967,11.88905,6001822
43,700,395,6001653,18.106249,944609,14.015253,2551191,14.539493,6001939,14.590562,6001822
44,702,22,6001653,2.029608,6001257,1.447209,6001792,1.658999,6001834,1.670141,6001822
45,703,11,6001653,0.632171,6001944,0.318889,6001201,0.456698,6001468,0.465398,6001822
46,704,5,6001653,0.007543,6001257,0.006602,6002105,0.007119,6001944,0.00721,6001822
47,800,5,6001653,0.007543,6001257,0.006602,6002105,0.007119,6001944,0.00721,6001822
48,100,392,6000668,2.167043,641307,0,2405013,0.909524,3202664,1.013383,6000763
49,102,1913,6000668,0.667131,6000763,0,6002250,0.163588,2405013,0.164762,6000763
50,103,1242,6000668,0.159591,641307,0,2405013,0.047977,377957,0.049935,6000763
51,200,4,6000668,0.178476,641307,0.092889,1140752,0.164638,471042,0.168538,6000763
52,202,13,6000668,0.480823,641307,0.19454,1140752,0.363935,1009303,0.408622,6000763
53,203,241,6000668,0.002308,641307,0.000551,1140752,0.001139,902159,0.001308,6000763
54,300,204,6000668,7.902813,641307,2.245244,1009303,6.386768,2647653,6.529882,6000763
55,400,4224,6000668,24.606687,641307,4.635451,1196074,7.964925,64967,8.121905,6000763
56,500,4206,6000668,24.702621,641307,4.635097,64967,8.479486,603774,8.594493,6000763
57,502,84,6000668,0.822347,641307,0.19454,1140752,0.495439,1877884,0.591843,6000763
58,600,66,6000668,8.749886,641307,2.81055,2647653,7.789989,1140752,7.98112,6000763
59,700,1949,6000668,42.015324,641307,4.388368,64967,17.425782,603774,17.520238,6000763
60,702,2,6000668,1.184165,641307,0.286945,6000668,1.184165,37519,1.462584,6000763
61,703,8,6000668,0.686209,6000763,0,3202664,0.274261,112785,0.35427,6000763
62,704,2,6000668,0.008419,641307,0.001386,6000668,0.008419,37519,0.009784,6000763
63,800,2,6000668,0.008419,641307,0.001386,6000668,0.008419,37519,0.009784,6000763
