Original Song,Name,Position,Id Song,Rank
180849,The Scientist,93,5000008,1.2578
180850,The Scientist,174,5000008,0.2756
180851,The Scientist,91,5000008,0.0666
180852,The Scientist,28,5000007,0.2380
180853,The Scientist,21,5000018,0.5452
180854,The Scientist,39,5000007,0.0018
180855,The Scientist,33,5000019,6.82
180856,The Scientist,16,5000019,15.0918
180857,The Scientist,16,5000019,15.4442
180858,The Scientist,26,5000013,0.721145
180859,The Scientist,21,5000019,7.902569
180860,The Scientist,4,5000019,24.910181
180861,The Scientist,8,5000017,1.269673
180862,The Scientist,22,5000017,0.688666
180863,The Scientist,9,5000017,0.008706
180864,The Scientist,9,5000017,0.008706
6001931,Bonita Jbalvin,2633,6001748,3.61584
6001932,Bonita Jbalvin,1832,6001748,0.578664
6001933,Bonita Jbalvin,1870,6001748,0.168735
6001934,Bonita Jbalvin,5343,6001748,0.555891
6001935,Bonita Jbalvin,5039,6001748,1656403
6001936,Bonita Jbalvin,3747,6001748,0.005829
6001937,Bonita Jbalvin,5070,6001748,40501613
6001938,Bonita Jbalvin,3681,6001748,25625097
6001939,Bonita Jbalvin,3659,6001748,25857107
6001940,Bonita Jbalvin,4093,6001748,1754572
6001941,Bonita Jbalvin,5060,6001748,41189843
6001942,Bonita Jbalvin,789,6001748,19999294
6001943,Bonita Jbalvin,897,6001748,2363268
6001944,Bonita Jbalvin,529,6001748,1153988
6001945,Bonita Jbalvin,354,6001748,0.011149
6001946,Bonita Jbalvin,354,6001748,0.011149
6002043,Calma Farruco,471,6002073,198097
6002044,Calma Farruco,793,6002073,0.386476
6002045,Calma Farruco,990,6002073,0.121996
6002046,Calma Farruco,821,6002073,0.28342
6002047,Calma Farruco,682,6002073,0.631675
6002048,Calma Farruco,843,6002073,0.00237
6002049,Calma Farruco,1806,6002073,8.978644
6002050,Calma Farruco,3316,6002073,21.489347
6002051,Calma Farruco,3279,6002073,21.586982
6002052,Calma Farruco,196,6002073,0.740524
6002053,Calma Farruco,1309,6002073,9.509957
6002054,Calma Farruco,1721,6002073,31.505611
6002055,Calma Farruco,359,6002073,1.820699
6002056,Calma Farruco,29,6002073,0.726766
6002057,Calma Farruco,72,6002073,0.012405
6002058,Calma Farruco,72,6002073,0.012405
6001918,Amante Nicky,2992,6001997,3.429537
6001919,Amante Nicky,2080,6001997,0.573833
6001920,Amante Nicky,1383,6001997,0.146986
6001921,Amante Nicky,104,6001997,0.33785
6001922,Amante Nicky,4258,6001997,1.538729
6001923,Amante Nicky,3688,6001997,0.005283
6001924,Amante Nicky,5573,6001997,66.391605
6001925,Amante Nicky,5561,6001997,57.61747
6001926,Amante Nicky,5558,6001997,57.696815
6001927,Amante Nicky,3572,6001997,1.642246
6001928,Amante Nicky,5565,6001997,66.78703
6001929,Amante Nicky,2102,6001997,43.505029
6001930,Amante Nicky,237,6001997,2.273598
6001931,Amante Nicky,29,6001997,0.726766
6001932,Amante Nicky,57,6001997,0.009382
6001933,Amante Nicky,57,6001997,0.009382
6001822,Dandole Gocho,234,6001653,1909119
6001823,Dandole Gocho,2181,6001653,0.62867
6001824,Dandole Gocho,1652,6001653,0.171912
6001825,Dandole Gocho,5512,6001653,0.61328
6001826,Dandole Gocho,4831,6001653,1850234
6001827,Dandole Gocho,3902,6001653,0.006065
6001828,Dandole Gocho,3789,6001653,26713965
6001829,Dandole Gocho,3465,6001653,21817936
6001830,Dandole Gocho,3410,6001653,2191707
6001831,Dandole Gocho,4386,6001653,1954122
6001832,Dandole Gocho,3610,6001653,26913429
